node_id,fragility_index,theta_deg,theta_fail,in_degree
0,2,0.30274940139438455,0.5836077044918058,8
1,2,0.1642969603714773,0.6510990349147985,9
2,1,0.19283560926450755,0.5830161042994051,6
3,2,0.33983982903245,0.613650132849596,6
4,2,0.3987406296596401,0.7452998458902728,4
5,3,0.14266954458401554,0.7021859342689087,6
6,2,0.1236176601285997,0.5078476046458082,6
7,1,0.1542471441090564,0.8666935003055355,10
8,1,0.2078940675068053,0.5987300731804044,6
9,2,0.15088577491211452,0.6943140169087111,4
10,2,0.2766277946619191,0.551303857511144,7
11,2,0.28504225414713347,0.6534104417871007,7
12,1,0.13161570392451272,0.8129312780694882,10
13,1,0.2697193153077492,0.5956591572627569,10
14,2,0.10138889299851574,0.8378201405871419,6
15,3,0.23953575982264672,0.7456317205644056,7
16,3,0.3926866592885614,0.7535012489622943,5
17,1,0.3398285315354491,0.8620298311931903,4
18,1,0.2790467100112356,0.703872064757658,8
19,2,0.19760489652481678,0.5555024498347091,8
20,1,0.1619031734156591,0.7561916431756952,7
21,1,0.23281767012785062,0.7537704959685947,8
22,1,0.1834124199226046,0.8200272629807421,5
23,4,0.3624873520378672,0.5506168897591268,5
24,3,0.16394720372019034,0.5872091360288851,9
25,3,0.18227350127658418,0.8730282038126862,5
26,2,0.3421545959403576,0.725122823747318,9
27,4,0.18050959779249354,0.5815823407288494,7
28,1,0.1804188608702888,0.6695257064653009,8
29,3,0.12126453526904704,0.65656152743055,5
30,1,0.24016264414760233,0.5521356218624257,7
31,2,0.17926163198214057,0.7368989923389024,6
32,1,0.3666826114094477,0.5207734498532395,7
33,2,0.18589549376278444,0.5239087682508219,7
34,3,0.3321300795095613,0.6035314651285935,8
35,2,0.24617345831568563,0.6479898167387032,10
36,2,0.24040571408038264,0.7252945557302741,11
37,2,0.38947906248414343,0.8626093123963869,3
38,3,0.3694682002934634,0.5922838616082059,5
39,2,0.12371029512926555,0.5597136544836492,9
40,2,0.17356128119747977,0.5536477199113036,8
41,2,0.15543612360298872,0.5293780170186428,6
42,2,0.3716424712122811,0.5619841466222878,7
43,1,0.2661496126660524,0.5880481745047833,8
44,1,0.21149769424795756,0.8792610330940125,6
45,3,0.3501691092786863,0.8494459663077558,2
46,1,0.204631773528284,0.5563353841160531,10
47,1,0.3044962155952946,0.8120751936600445,5
48,3,0.16850517092672124,0.5026137166522551,10
49,1,0.1071616867384107,0.7655789411558254,6
50,4,0.30883569504472186,0.6250548278233061,7
51,2,0.20105582973047853,0.6431253221145201,11
52,4,0.20259777931635975,0.5902271430908762,7
53,1,0.1827522604021139,0.7248412258188776,10
54,1,0.17540312083525106,0.8721568838410896,3
55,3,0.2710316586474296,0.8316858794344214,4
56,3,0.20015686631091462,0.8261143981768222,12
57,4,0.22767933761521256,0.704487163356267,4
58,1,0.16057894178252596,0.8895846747551679,11
59,3,0.2515479012855588,0.8357282629963099,13
60,4,0.2756161681023535,0.750711259232948,7
61,1,0.22609004826936385,0.855657555465622,11
62,2,0.2210340598285282,0.5350092677190311,6
63,1,0.3831828450081254,0.5870753734397175,4
64,3,0.11446371359377833,0.862994763206666,11
65,3,0.19782213715436503,0.5720763182052089,5
66,1,0.2556793991707429,0.5333225695069154,5
67,2,0.27953624742521044,0.6559924718035595,11
68,2,0.11268853186719198,0.7869661059680657,4
69,1,0.17237703818935662,0.7381181438540488,5
70,3,0.11627690305015727,0.712930966507669,8
71,2,0.10231922780640329,0.7970753579406945,5
72,2,0.1966293359442919,0.8333827021630258,6
73,3,0.2220996131536238,0.5084073756529948,17
74,5,0.35775230585496176,0.8588598057129713,8
75,2,0.10404293614806308,0.7408968256819993,3
76,2,0.3148706815205918,0.8506479661041987,11
77,1,0.23708605028429117,0.695920719690132,11
78,2,0.2767225038267509,0.6331953946133133,6
79,5,0.14391832575287053,0.5533943762348642,10
80,3,0.34058770077056943,0.7949971154262645,9
81,1,0.21379087305767228,0.5479184936094332,9
82,1,0.22294470360213747,0.833615539640665,14
83,1,0.2697463332055111,0.5712081233817315,10
84,1,0.1782148157611559,0.5281385060107637,9
85,2,0.23090753535676595,0.7698802640149867,4
86,2,0.14044565763022943,0.7063879821540532,8
87,1,0.31086734749697065,0.5724900236552923,5
88,2,0.1301683092957803,0.5153823602741092,7
89,3,0.1838553246160786,0.6135610418182406,7
90,3,0.16555618341415002,0.8464504700848545,7
91,2,0.139487992206073,0.6497819649962702,10
92,1,0.2647273424208443,0.8084184983710939,8
93,2,0.1590871469263124,0.8949337587596897,15
94,1,0.3253508672129275,0.8250557941323269,12
95,2,0.18396181310062615,0.8948001317095319,12
96,2,0.390402429109325,0.6943821539063142,4
97,1,0.2695338157861049,0.8805471399888325,5
98,2,0.12639282054690631,0.5782504616924942,5
99,2,0.2860694789253096,0.5764171536257642,8
